subs,vldr,beq.n,cmp,ldr,mov.w,vcvt.f64.s32,mov,vcmpe.f64,vmul.f32
mov,movs,vsub.f64,bne.n,str,mla,vmul.f64,mov,vmrs,add
cmp,vcmpe.f64,vabs.f64,vsub.f64,ldr,ldr.w,vdiv.f64,bge.n,it,bl
bne.n,vneg.f64,vcmpe.f64,vcmp.f64,str,lsrs,vadd.f64,adds,bmi.n,movw
adds,vmrs,vmov.f64,vmrs,ldr,uxth,beq.n,mov,vmovmi.f64,movt
pop,vmov.f64,vmrs,bne.n,str,add.w,vsub.f64,adc.w,vcmpe.f64,push
subs,vneg.f64,bgt.n,vcmp.f64,ldr,mla,vabs.f64,cmp,ldr,movw
mov,bpl.n,vmov,vmrs,str,lsrs,vcmpe.f64,sbcs.w,add,ldmia.w
cmp,bl,adds,bne.n,str,uxth,vmov.f64,mov,vldr,movw
bne.n,vcmpe.f64,adds,vsub.f64,str,mov.w,vmrs,mov,ldr,uxth
adds,push,vmov,vcmp.f64,bl,mov.w,bgt.n,mov,vmrs,lsrs
pop,vpush,adds,vmrs,push,mla,vmov,bge.n,it,uxth
subs,mov,vmov,bne.n,cmp,mov.w,adds,adds,vsubgt.f64,lsrs
mov,sub,adds,vcmp.f64,sub,mov,cmp,mov,add,mla
cmp,vmov.f64,vmov,vmrs,ldrh.w,add.w,vcvt.f64.s32,adc.w,vldr,mla
bne.n,vmrs,adds,bne.n,ldrb.w,orr.w,vmul.f64,cmp,it,pop
adds,vmov.f64,vcvt.f64.s32,vsub.f64,bgt.n,ldr,vdiv.f64,sbcs.w,vadd.f64,str
pop,ble.w,vmov,vcmp.f64,ldr,strb,vadd.f64,mov,vldrle,add.w
subs,ldr,adds,vmrs,subs,lsrs,beq.n,mov,vadd.f64,str
mov,it,vmov,bne.n,str,orr.w,vsub.f64,mov,vadd.f64,bx
cmp,vnegle.f64,mov,vcmp.f64,ldr,strb.w,vabs.f64,bge.n,vadd.f64,vadd.f32
bne.n,add,vmov,vmrs,str,ldr.w,vcmpe.f64,adds,vmla.f64,umull
adds,vldr,adds,bne.n,ldr,mov,vmov.f64,mov,vadd.f64,subs
pop,vsub.f64,adds,vsub.f64,str,lsrs,vmrs,adc.w,vadd.f64,add.w
subs,vsub.f64,vmov,vcmp.f64,ldr,orr.w,bgt.n,cmp,vsub.f64,lsrs
mov,vmov,cmp,vmrs,str,strb.w,vmov,sbcs.w,vadd.f64,orr.w
cmp,vneg.f64,vdiv.f64,beq.n,ldr,lsrs,adds,mov,vadd.f64,rsb
bne.n,vsub.f64,vcvt.f64.s32,vcmp.f64,str,ldr.w,cmp,mov,vcmp.f64,umull
adds,b.n,vdiv.f64,vmrs,str,orr.w,vcvt.f64.s32,mov,vmrs,blx
pop,vmul.f64,vcvt.f64.s32,bne.n,str,ldr,vmul.f64,bge.n,beq.w,add
subs,vldr,vdiv.f64,vpop,bl,strb,vdiv.f64,adds,add.w,add
mov,vldr,vcvt.f64.s32,vmov.f64,push,lsrs,vadd.f64,mov,add.w,ldr
cmp,ldr,vdiv.f64,vmov.f64,cmp,orr.w,beq.n,adc.w,vpop,vmov
